idx,Bstart [%],Bend [%],Vload [CV],Yield [%],Purity [%],Prod [g/(l*CV)],tretA [CV],tretBC [CV],tretD [CV],peakwidthA [CV],peakwidthBC [CV],peakwidthD [CV],assymetryA [-],assymetryBC [-],assymetryD [-],poolVolume [CV],poolConcBC [g/l],poolConcSalt [M],cut1 [CV],cut2 [CV]
544,15.6,72.9,1.7,81.81,95.0,0.16,32.05,24.38,20.37,4.21,3.7,3.76,1.09,1.28,1.04,6.97,0.68,0.17,23.29,30.25
545,43.0,48.6,0.7,1.04,99.0,0.01,13.68,5.97,6.42,7.29,3.48,2.77,1.24,1.24,1.2,1.08,0.02,0.15,2.5,3.58
546,18.4,57.5,4.4,96.87,95.0,0.37,40.31,27.86,21.55,5.41,5.38,4.62,1.18,1.7,1.31,13.11,1.09,0.16,25.27,38.38
547,33.8,14.5,8.0,70.4,95.0,0.31,59.92,59.81,13.3,0.44,0.34,2.24,2.78,2.52,1.85,43.24,0.43,0.12,16.62,59.86
548,18.2,64.5,6.3,94.87,95.0,0.55,37.87,26.17,21.13,4.98,5.44,4.24,1.26,2.13,1.3,11.85,1.68,0.16,24.32,36.17
549,20.9,38.6,7.9,99.89,95.0,0.44,59.72,33.05,21.92,0.43,12.16,5.79,2.49,3.66,1.82,31.04,0.84,0.15,27.92,58.95
550,47.2,78.5,5.7,1.7,99.0,0.04,12.27,8.69,9.08,4.59,1.84,1.63,1.09,1.68,1.68,0.37,0.86,0.14,7.47,7.85
551,14.6,6.1,9.7,0.0,0.0,0.0,61.69,61.66,61.59,0.46,0.39,0.27,2.6,1.91,1.8,0,0.0,nan,0,0
552,35.2,82.7,3.4,0.0,99.0,0.0,18.09,10.76,9.59,4.66,3.71,2.26,1.17,1.28,1.47,0.13,0.0,0.0,5.27,5.4
553,30.3,97.7,8.3,56.57,95.0,0.73,23.42,15.66,13.74,4.07,4.23,1.69,1.22,1.73,1.52,5.48,2.85,0.17,15.99,21.47
554,30.1,30.9,4.3,95.28,95.0,0.24,56.22,22.08,14.27,0.43,10.93,4.25,2.57,2.31,1.48,37.84,0.36,0.14,18.34,56.18
555,44.4,37.7,6.9,0.23,99.0,0.01,17.32,10.19,10.39,8.72,2.25,1.67,1.25,1.84,1.57,0.27,0.19,0.13,8.68,8.95
556,30.1,89.6,8.1,61.67,95.0,0.74,24.41,15.89,13.75,4.37,4.47,1.81,1.28,1.78,1.6,6.42,2.57,0.16,16.04,22.45
557,14.2,0.2,2.7,0.0,0.0,0.0,54.69,54.64,54.69,0.47,0.41,0.37,2.1,2.3,1.75,0,0.0,nan,0,0
558,21.1,58.7,8.2,96.77,98.0,0.71,40.36,25.45,19.81,5.84,7.09,4.25,1.36,2.67,1.49,13.87,1.89,0.15,23.25,37.12
559,44.4,4.2,8.3,0.0,0.0,0.0,60.24,11.38,11.59,0.41,2.13,1.51,2.71,2.38,1.65,0,0.0,nan,0,0
560,40.6,86.7,5.8,0.02,99.0,0.0,15.89,9.94,9.81,4.65,2.7,1.8,1.12,1.84,1.83,0.32,0.01,0.13,7.59,7.9
561,13.7,85.1,8.1,88.51,95.0,0.72,34.1,25.74,22.28,3.92,4.52,3.37,1.31,1.89,1.18,8.16,2.91,0.16,24.58,32.74
562,34.2,91.4,3.5,0.0,0.0,0.0,17.71,10.97,9.97,4.25,3.55,2.18,1.2,1.36,1.12,0,0.0,nan,0,0
563,4.3,55.4,8.0,97.03,95.0,0.52,50.74,39.06,33.2,4.78,5.83,5.01,1.19,2.35,1.56,12.06,2.13,0.16,37.02,49.08
564,10.0,75.0,9.3,93.63,95.0,0.75,39.85,30.05,25.84,4.2,5.32,4.1,1.34,2.53,1.46,9.8,2.95,0.16,28.68,38.48
565,11.7,60.7,6.8,96.41,95.0,0.52,43.69,32.18,26.44,4.84,5.48,4.69,1.17,2.08,1.52,11.86,1.83,0.16,30.11,41.97
566,23.3,20.7,2.6,5.13,95.0,0.01,54.58,54.49,27.06,0.47,0.37,11.05,2.2,2.38,1.33,0.15,2.94,0.13,54.24,54.39
567,37.6,79.2,4.7,0.0,0.0,0.0,17.74,10.23,9.79,4.99,3.48,2.03,1.19,1.81,1.31,0,0.0,nan,0,0
