idx,Bstart [%],Bend [%],Vload [CV],Yield [%],Purity [%],Prod [g/(l*CV)],tretA [CV],tretBC [CV],tretD [CV],peakwidthA [CV],peakwidthBC [CV],peakwidthD [CV],assymetryA [-],assymetryBC [-],assymetryD [-],poolVolume [CV],poolConcBC [g/l],poolConcSalt [M],cut1 [CV],cut2 [CV]
666,44.2,3.4,6.5,0.26,99.0,0.01,58.36,9.93,10.15,0.41,2.52,1.84,2.26,1.9,1.57,0.37,0.15,0.13,8.19,8.56
667,13.3,67.8,2.8,88.68,95.0,0.24,36.18,27.63,23.03,4.37,3.96,3.98,1.05,1.31,1.15,8.28,1.0,0.17,26.09,34.37
668,27.1,92.4,6.3,66.75,95.0,0.62,24.25,16.37,14.05,4.06,4.07,2.19,1.19,1.59,1.13,6.28,2.2,0.16,16.16,22.44
669,12.5,52.0,4.4,98.66,95.0,0.32,47.4,34.86,27.62,5.38,5.39,5.05,1.18,1.82,1.35,13.67,1.05,0.16,31.83,45.51
670,47.5,28.8,3.1,4.3,99.0,0.08,11.66,6.47,7.2,7.63,2.34,2.11,1.34,1.61,1.36,0.67,0.66,0.15,4.86,5.53
671,32.4,12.0,6.0,67.26,95.0,0.23,57.94,57.82,13.72,0.45,0.35,3.55,2.22,2.33,1.36,39.69,0.34,0.11,18.18,57.86
672,47.8,51.4,2.8,5.27,99.0,0.09,10.23,6.11,6.82,5.49,2.22,2.04,1.22,1.42,1.33,0.69,0.7,0.15,4.5,5.19
673,23.3,53.4,1.6,96.18,95.0,0.14,37.76,24.9,17.89,6.18,5.35,4.74,1.19,1.22,1.03,13.93,0.36,0.16,21.56,35.49
674,6.2,13.1,3.0,0.0,0.0,0.0,54.99,54.93,54.96,0.48,0.41,0.35,2.02,2.1,1.94,0,0.0,nan,0,0
675,20.3,28.8,2.5,52.37,95.0,0.08,54.46,54.32,28.3,0.47,0.37,8.78,2.01,2.14,1.26,11.12,0.39,0.13,43.24,54.36
676,4.4,54.6,8.4,97.46,95.0,0.54,51.42,39.46,33.26,4.87,6.11,5.16,1.32,2.44,1.76,12.52,2.17,0.16,37.34,49.86
677,30.5,57.0,6.5,76.06,95.0,0.57,31.44,16.83,13.65,6.94,5.97,2.46,1.28,1.72,1.1,12.62,1.3,0.16,16.07,28.69
678,10.1,71.0,4.7,87.63,95.0,0.38,37.58,29.07,25.04,4.15,4.06,3.83,1.15,1.63,1.2,8.11,1.67,0.17,27.86,35.97
679,27.4,61.3,4.7,84.41,95.0,0.45,31.49,18.53,14.62,5.9,5.42,3.24,1.17,1.76,1.13,11.88,1.12,0.16,17.27,29.15
680,15.5,24.2,2.3,0.0,0.0,0.0,54.25,54.17,41.77,0.48,0.39,17.41,2.19,2.49,2.46,0,0.0,nan,0,0
681,25.6,38.3,5.9,99.02,95.0,0.36,57.71,26.37,17.72,0.43,10.33,4.79,2.77,2.8,1.37,31.35,0.62,0.14,22.1,53.44
682,0.6,35.3,8.6,87.67,95.0,0.41,60.57,60.42,44.92,0.46,0.38,6.73,1.95,1.84,1.67,8.98,2.79,0.15,51.52,60.5
683,11.9,55.7,5.0,97.53,95.0,0.37,45.33,33.57,27.21,5.08,5.21,4.81,1.18,1.86,1.32,12.44,1.29,0.16,31.08,43.52
684,14.2,98.8,3.0,52.79,95.0,0.21,26.35,20.59,18.47,3.42,3.1,2.75,1.18,1.36,0.9,3.88,1.36,0.16,20.76,24.63
685,38.6,15.9,0.8,33.78,95.0,0.02,52.69,10.86,8.89,0.44,8.47,4.18,2.23,1.57,1.15,38.24,0.02,0.12,14.34,52.58
686,43.6,44.0,0.7,1.43,99.0,0.01,13.75,5.69,6.26,7.92,3.46,2.77,1.25,1.46,1.35,1.08,0.03,0.16,2.51,3.6
687,19.4,44.0,7.4,99.73,95.0,0.47,59.19,32.33,22.8,7.57,9.48,5.62,0.04,3.12,1.68,23.38,1.04,0.15,28.19,51.56
688,5.5,22.5,9.6,0.0,0.0,0.0,61.55,61.47,61.39,0.47,0.38,0.27,2.09,2.15,1.56,0,0.0,nan,0,0
689,36.9,15.5,3.4,49.96,95.0,0.1,55.36,12.66,10.22,0.44,8.05,3.13,2.57,1.82,1.45,40.59,0.14,0.12,14.68,55.27
690,17.6,67.5,6.2,93.45,95.0,0.55,36.74,25.82,21.13,4.75,5.11,4.09,1.19,2.0,1.27,10.88,1.76,0.16,24.14,35.02
691,42.5,82.1,5.2,0.22,99.0,0.01,14.52,9.05,9.28,4.78,2.47,1.85,1.08,1.88,1.41,0.34,0.11,0.14,7.13,7.47
692,36.9,74.3,7.6,0.0,0.0,0.0,21.36,12.41,11.75,5.47,3.81,1.62,1.14,2.46,1.92,0,0.0,nan,0,0
693,23.8,78.5,7.1,85.92,95.0,0.72,29.91,20.0,16.7,4.54,4.88,2.9,1.27,1.92,1.12,9.34,2.17,0.16,18.92,28.25
694,45.7,12.7,8.7,0.0,0.0,0.0,60.58,11.53,11.72,0.4,1.84,1.4,2.84,2.22,2.01,0,0.0,nan,0,0
695,0.2,76.6,5.9,80.87,95.0,0.41,39.92,32.6,29.55,3.69,3.76,3.24,1.1,1.58,1.06,6.57,2.4,0.16,31.81,38.38
696,24.9,96.3,5.8,66.81,97.0,0.58,24.39,17.05,14.72,3.84,3.82,2.33,1.2,1.56,1.08,5.22,2.44,0.16,16.81,22.04
697,20.9,78.4,8.7,91.35,95.0,0.84,33.03,22.64,18.85,4.49,5.4,3.26,1.26,2.22,1.31,10.2,2.59,0.16,21.26,31.46
698,30.4,38.0,4.6,89.83,95.0,0.31,56.38,19.52,13.69,0.42,8.42,3.64,2.46,1.85,1.41,27.48,0.5,0.15,17.08,44.56
699,22.9,72.3,3.0,80.88,95.0,0.29,29.22,20.0,16.13,4.63,4.2,3.55,1.08,1.42,1.16,8.28,0.97,0.16,18.96,27.23
700,19.5,55.5,3.9,97.31,95.0,0.33,40.54,27.57,20.92,5.67,5.47,4.7,1.18,1.6,1.2,13.83,0.91,0.16,24.67,38.5
701,16.1,78.7,8.5,91.99,95.0,0.77,35.37,25.51,21.57,4.26,5.11,3.67,1.14,2.26,1.36,9.61,2.7,0.16,24.17,33.78
702,25.0,44.4,1.9,98.65,95.0,0.15,46.14,27.19,17.86,8.17,6.92,5.27,0.99,1.28,1.05,20.76,0.3,0.15,22.06,42.82
703,15.2,14.5,5.8,0.0,0.0,0.0,57.77,57.71,57.63,0.47,0.39,0.28,2.04,2.08,1.63,0,0.0,nan,0,0
704,29.1,8.8,9.2,49.2,95.0,0.25,61.17,61.06,16.46,0.46,0.36,3.71,2.18,2.37,1.75,38.38,0.39,0.1,22.69,61.07
705,16.2,84.3,8.4,89.68,95.0,0.78,33.59,24.58,21.05,4.04,4.76,3.36,1.16,2.08,1.23,8.68,2.87,0.16,23.39,32.07
706,47.9,20.4,4.3,3.28,99.0,0.07,12.37,7.45,8.06,8.25,2.14,1.94,1.41,1.67,1.46,0.55,0.86,0.15,6.04,6.58
707,45.5,1.1,0.6,3.31,99.0,0.02,52.48,5.2,6.07,0.41,3.86,3.12,2.62,1.52,1.36,1.1,0.06,0.15,2.34,3.44
708,28.2,49.7,9.2,90.76,95.0,0.74,40.26,19.92,15.81,8.42,7.77,2.67,1.33,2.85,1.69,19.01,1.46,0.15,18.44,37.45
709,38.7,53.8,10.0,0.0,0.0,0.0,24.73,13.54,13.31,7.92,3.34,1.33,1.2,3.72,1.98,0,0.0,nan,0,0
710,25.9,51.7,6.9,94.83,95.0,0.57,40.07,21.81,16.67,7.25,7.34,3.7,1.25,2.63,1.33,17.86,1.21,0.15,19.73,37.59
711,19.5,35.8,6.0,99.9,95.0,0.34,57.88,39.07,24.83,0.44,11.55,6.76,2.28,2.92,1.51,26.35,0.75,0.14,31.48,57.83
712,17.6,94.8,6.8,79.93,95.0,0.65,29.04,21.65,19.02,3.7,3.92,2.77,1.27,1.75,0.93,6.65,2.7,0.17,20.97,27.62
713,26.3,9.9,3.8,0.0,0.0,0.0,55.78,55.72,22.8,0.47,0.38,11.55,2.23,1.95,1.78,0,0.0,nan,0,0
714,20.0,56.1,5.8,97.32,95.0,0.48,41.22,26.84,20.64,5.79,6.2,4.6,1.12,2.17,1.29,14.78,1.26,0.16,24.31,39.1
715,44.0,96.4,4.9,0.75,99.0,0.02,12.67,8.53,8.74,4.16,2.19,1.8,1.14,1.51,1.68,0.54,0.23,0.14,6.65,7.19
716,22.0,62.5,10.0,96.31,95.0,0.85,39.1,24.28,19.14,5.72,7.49,3.78,1.36,3.04,1.93,14.96,2.12,0.16,22.34,37.3
717,17.2,53.0,8.2,98.91,95.0,0.6,46.91,30.81,23.49,6.02,7.7,5.15,1.3,2.9,1.68,16.99,1.58,0.15,28.0,44.99
718,8.5,31.8,9.8,82.18,95.0,0.43,61.71,61.59,38.92,0.46,0.38,8.81,2.34,1.85,1.84,11.67,2.28,0.14,49.99,61.66
719,41.3,51.3,1.2,0.17,99.0,0.0,15.95,7.07,7.07,7.36,3.72,2.8,1.1,1.28,1.37,0.98,0.01,0.14,2.99,3.96
720,44.7,69.0,8.2,0.0,0.0,0.0,16.28,11.15,11.33,5.45,1.92,1.43,1.09,2.34,1.97,0,0.0,nan,0,0
721,49.5,88.8,4.3,4.85,99.0,0.11,9.8,7.1,7.73,3.89,1.71,1.65,1.11,1.63,1.39,0.46,1.48,0.15,6.01,6.47
722,7.8,29.0,5.2,14.23,95.0,0.04,57.11,56.99,45.08,0.47,0.37,8.19,2.14,2.55,1.35,0.24,9.98,0.15,56.7,56.95
723,25.2,18.8,1.9,4.18,95.0,0.0,53.87,53.79,24.58,0.47,0.38,11.03,2.1,2.29,1.29,0.11,2.33,0.13,53.56,53.67
724,31.5,60.3,3.6,58.88,96.0,0.3,26.97,14.81,11.81,6.32,5.16,2.81,1.17,1.34,1.23,8.67,0.81,0.16,14.78,23.45
725,49.7,63.7,0.5,12.56,99.0,0.07,7.0,3.71,4.74,4.32,2.15,2.08,1.22,1.51,1.34,0.79,0.27,0.16,2.33,3.13
726,20.6,78.8,3.1,77.01,95.0,0.3,28.59,20.57,16.99,4.22,3.85,3.39,1.09,1.26,1.17,7.04,1.14,0.16,19.69,26.73
727,34.5,0.4,3.1,19.28,95.0,0.04,55.09,54.98,12.4,0.46,0.35,5.01,2.13,2.65,1.45,33.36,0.06,0.08,21.58,54.94
728,42.1,58.6,6.7,0.04,99.0,0.0,17.65,10.42,10.42,6.57,2.59,1.71,1.24,2.02,1.78,0.2,0.05,0.13,8.58,8.78
729,9.8,49.8,5.6,98.96,95.0,0.37,51.33,38.16,30.62,5.42,5.84,5.26,1.16,1.97,1.44,14.29,1.28,0.16,35.09,49.39
730,13.3,64.7,5.4,93.89,95.0,0.44,39.64,29.43,24.27,4.63,4.76,4.3,1.17,1.68,1.38,10.38,1.61,0.16,27.57,37.95
731,49.9,57.4,4.2,5.12,99.0,0.11,10.07,6.98,7.62,4.71,1.77,1.73,1.14,1.74,1.59,0.47,1.51,0.15,5.91,6.38
732,6.1,15.7,7.6,0.0,0.0,0.0,59.56,59.54,59.48,0.47,0.39,0.28,2.62,1.84,1.78,0,0.0,nan,0,0
733,5.3,10.0,1.8,0.0,0.0,0.0,53.78,53.71,53.78,0.48,0.41,0.39,2.04,2.3,1.92,0,0.0,nan,0,0
734,26.1,82.3,6.2,76.49,95.0,0.63,26.75,17.67,14.85,4.43,4.45,2.53,1.2,1.67,1.14,7.9,1.98,0.16,17.03,24.93
735,40.3,6.2,0.2,21.84,95.0,0.0,52.17,9.11,8.1,0.44,46.38,4.42,2.34,13.49,1.2,37.3,0.0,0.11,14.74,52.04
736,38.5,32.3,7.2,20.18,95.0,0.23,59.0,11.86,11.46,33.47,4.2,1.81,0.01,2.78,1.49,5.78,0.83,0.15,15.41,21.19
737,17.7,16.9,2.7,0.0,0.0,0.0,54.71,54.65,54.58,0.48,0.4,0.28,2.13,1.99,1.35,0,0.0,nan,0,0
738,5.0,90.4,5.9,74.04,95.0,0.44,34.06,27.57,25.03,3.46,3.49,2.82,1.23,1.53,0.99,5.56,2.59,0.17,27.08,32.64
739,17.4,45.0,3.9,99.8,95.0,0.26,55.71,35.15,25.1,5.47,6.7,5.73,0.06,1.72,1.33,19.41,0.67,0.15,30.09,49.5
740,2.7,89.1,5.9,73.55,95.0,0.42,35.2,28.69,26.27,3.44,3.47,2.79,1.13,1.55,0.88,5.48,2.61,0.17,28.23,33.71
741,48.0,44.0,6.2,1.41,99.0,0.04,13.06,9.06,9.55,6.16,1.8,1.61,1.26,1.92,1.5,0.31,0.93,0.14,8.01,8.32
742,12.5,4.4,9.3,0.0,0.0,0.0,61.27,61.24,61.21,0.46,0.39,0.28,2.64,2.0,1.67,0,0.0,nan,0,0
743,42.7,31.5,9.0,0.0,0.0,0.0,21.92,12.16,12.16,11.65,2.29,1.42,1.33,2.38,1.97,0,0.0,nan,0,0
744,40.8,30.4,6.1,0.01,99.0,0.0,24.8,10.4,10.26,39.61,3.39,1.95,5.19,2.2,1.64,0.26,0.01,0.12,7.9,8.16
745,48.0,49.6,9.5,0.0,0.0,0.0,15.8,12.0,12.22,6.03,1.42,1.2,1.13,2.36,2.1,0,0.0,nan,0,0
746,12.1,39.0,7.2,99.93,95.0,0.4,59.08,44.19,32.27,0.44,9.23,6.86,2.59,2.86,1.58,20.24,1.18,0.15,38.8,59.03
747,11.1,30.9,8.8,78.72,95.0,0.38,60.68,60.57,36.63,0.46,0.37,8.9,2.66,2.16,1.92,11.62,1.97,0.14,49.03,60.64
748,24.2,79.3,2.5,67.6,95.0,0.24,25.82,17.81,14.61,4.33,3.86,3.21,1.07,1.22,1.1,6.44,0.87,0.16,17.32,23.76
749,8.7,35.8,1.9,81.03,95.0,0.1,53.88,53.73,39.19,0.46,0.38,6.43,2.14,1.82,1.19,7.52,0.69,0.15,46.3,53.82
750,48.6,29.1,5.7,2.19,99.0,0.05,12.59,8.5,8.99,6.91,1.84,1.69,1.29,1.82,1.69,0.32,1.28,0.14,7.46,7.78
751,5.7,53.4,3.9,96.42,95.0,0.27,48.46,38.2,32.16,4.78,4.59,4.61,1.15,1.54,1.32,10.85,1.15,0.16,35.86,46.71
752,20.2,6.5,1.3,0.0,0.0,0.0,53.3,53.24,53.24,0.48,0.41,0.31,2.22,2.34,1.85,0,0.0,nan,0,0
753,41.3,35.1,2.5,0.1,99.0,0.0,20.77,8.07,7.93,12.66,3.92,2.67,1.35,1.54,1.52,0.66,0.01,0.14,4.42,5.08
754,9.6,28.4,2.4,0.0,0.0,0.0,54.39,54.3,45.6,0.48,0.38,8.27,2.41,2.47,1.08,0,0.0,nan,0,0
755,1.7,66.4,3.5,82.8,95.0,0.24,41.54,34.03,30.24,3.98,3.68,3.68,1.16,1.35,1.12,6.95,1.37,0.16,32.99,39.93
756,7.8,70.6,1.0,78.67,95.0,0.08,35.67,28.87,25.08,3.98,3.46,3.67,1.1,1.27,1.02,5.97,0.44,0.16,27.97,33.94
757,13.5,83.5,1.4,63.55,95.0,0.11,28.99,22.77,19.71,3.76,3.28,3.33,1.18,1.27,1.1,4.73,0.61,0.17,22.52,27.24
758,22.2,83.6,8.1,87.27,95.0,0.81,30.36,20.96,17.69,4.28,4.86,2.88,1.24,1.97,1.15,8.96,2.6,0.16,19.83,28.8
759,8.0,35.3,7.3,93.83,95.0,0.38,59.18,59.02,38.84,0.46,0.38,7.26,1.96,2.09,1.51,12.49,1.8,0.15,46.63,59.13
760,18.8,95.8,2.2,49.28,95.0,0.16,24.28,18.38,16.06,3.58,3.18,2.89,1.19,1.25,0.98,3.83,0.92,0.16,18.6,22.43
761,47.5,50.5,2.4,5.49,99.0,0.09,10.16,5.8,6.52,5.6,2.31,2.11,1.2,1.43,1.41,0.76,0.57,0.15,4.09,4.84
762,22.6,13.1,7.1,3.01,95.0,0.01,59.06,58.98,25.36,0.46,0.37,10.51,2.13,2.25,1.92,0.09,8.23,0.12,58.77,58.86
763,13.0,90.0,5.9,78.85,95.0,0.52,31.3,24.04,21.3,3.67,3.75,3.01,1.22,1.75,1.0,6.4,2.41,0.16,23.43,29.84
764,18.4,24.6,6.1,22.73,95.0,0.08,58.06,57.94,30.7,0.47,0.37,9.99,2.47,2.48,1.58,6.96,0.66,0.12,50.97,57.93
765,10.6,87.2,1.3,54.21,95.0,0.09,28.99,23.27,20.68,3.57,3.12,3.16,1.2,1.3,0.97,3.88,0.61,0.17,23.34,27.22
766,25.7,54.3,2.8,92.55,95.0,0.25,35.82,21.75,15.91,6.43,5.63,4.26,1.18,1.49,1.17,14.07,0.6,0.16,19.33,33.39
767,38.6,38.5,6.6,14.32,95.0,0.17,27.23,11.39,10.97,12.94,4.12,1.88,1.4,2.77,1.71,3.54,0.88,0.14,15.19,18.73
768,28.4,31.1,4.0,98.7,95.0,0.23,55.86,26.48,15.92,0.44,12.3,5.04,2.28,2.32,1.27,35.29,0.37,0.14,20.53,55.82
769,4.3,17.7,8.5,0.0,0.0,0.0,60.46,60.43,60.36,0.47,0.39,0.28,2.71,1.95,1.78,0,0.0,nan,0,0
770,16.1,66.3,1.2,89.4,95.0,0.11,34.29,26.09,21.11,4.52,3.95,4.09,1.07,1.06,0.97,8.23,0.42,0.17,24.2,32.43
771,28.1,36.1,5.1,97.26,95.0,0.3,56.9,23.36,15.64,0.43,9.97,4.35,2.13,2.5,1.4,34.36,0.47,0.15,19.61,53.97
772,14.8,6.6,3.2,0.0,0.0,0.0,55.17,55.11,55.14,0.47,0.4,0.33,2.11,2.23,1.7,0,0.0,nan,0,0
773,11.3,12.6,7.2,0.0,0.0,0.0,59.14,59.09,59.07,0.47,0.39,0.28,2.66,2.47,1.49,0,0.0,nan,0,0
774,14.1,40.3,9.1,99.95,95.0,0.5,60.94,40.54,28.77,0.44,11.02,6.86,2.19,3.63,1.94,24.98,1.21,0.15,35.71,60.68
775,38.7,88.3,8.6,0.0,0.0,0.0,19.45,12.52,12.21,4.72,2.99,1.44,1.13,2.47,1.81,0,0.0,nan,0,0
776,6.6,27.7,0.4,0.0,0.0,0.0,52.33,52.3,52.2,0.49,0.4,0.3,2.62,1.84,1.6,0,0.0,nan,0,0
777,34.0,66.4,3.6,28.02,95.0,0.18,22.54,12.23,10.51,5.8,4.55,2.45,1.06,1.44,1.21,4.74,0.7,0.15,13.91,18.65
778,20.6,65.9,7.0,94.09,95.0,0.63,36.19,24.16,19.37,5.1,5.72,3.93,1.32,2.12,1.34,12.15,1.8,0.16,22.34,34.49
779,12.4,84.7,3.6,72.53,95.0,0.29,31.0,24.22,21.26,3.74,3.46,3.21,1.14,1.26,0.94,5.74,1.5,0.17,23.62,29.36
780,31.4,18.2,1.2,46.25,95.0,0.04,53.2,53.07,14.69,0.46,0.35,6.77,2.17,2.55,1.29,28.48,0.07,0.11,24.61,53.1
781,45.6,73.4,7.2,0.34,99.0,0.01,14.6,10.16,10.43,5.06,1.89,1.52,1.08,1.86,1.64,0.23,0.35,0.14,8.95,9.19
782,2.0,4.0,1.7,0.0,0.0,0.0,53.69,53.65,53.72,0.48,0.41,0.43,2.28,1.92,1.89,0,0.0,nan,0,0
783,9.9,30.3,3.9,22.76,95.0,0.05,55.81,55.69,41.95,0.47,0.37,7.97,2.16,2.22,1.36,2.15,1.36,0.13,53.52,55.67
784,2.0,31.1,6.4,32.58,95.0,0.12,58.34,58.23,47.85,0.47,0.38,6.99,2.49,2.12,1.45,1.86,3.73,0.13,56.37,58.23
785,9.0,83.9,5.7,80.61,95.0,0.47,34.44,26.97,24.02,3.72,3.77,3.21,1.11,1.72,1.04,6.62,2.32,0.16,26.27,32.89
786,35.8,25.5,4.4,52.69,95.0,0.14,56.29,13.25,10.93,0.42,7.37,2.73,2.28,1.89,1.28,41.45,0.19,0.14,14.68,56.13
787,34.2,34.9,0.1,63.67,95.0,0.01,51.92,16.29,10.6,0.42,8.47,4.78,2.86,1.11,1.28,23.56,0.01,0.14,15.42,38.98
788,41.7,77.6,2.9,0.24,99.0,0.0,13.45,7.57,7.82,4.89,2.85,2.22,1.09,1.6,1.35,0.61,0.04,0.14,4.85,5.46
789,2.1,85.4,6.1,76.91,95.0,0.44,36.61,29.77,27.15,3.52,3.6,2.93,1.15,1.68,1.01,5.9,2.64,0.16,29.23,35.13
790,2.4,24.4,1.2,0.0,0.0,0.0,53.16,53.1,53.08,0.48,0.41,0.31,2.25,2.21,1.76,0,0.0,nan,0,0
791,39.6,21.0,9.2,18.06,95.0,0.25,61.03,12.87,12.66,0.41,3.36,1.48,2.23,3.15,1.8,5.25,1.04,0.14,16.6,21.85
792,37.5,8.6,7.0,41.9,95.0,0.16,58.92,12.55,11.61,0.44,47.76,2.03,2.21,31.38,1.87,43.19,0.22,0.11,15.62,58.81
793,19.7,74.8,8.3,92.52,95.0,0.77,34.42,23.65,19.54,4.59,5.46,3.57,1.32,2.45,1.53,10.62,2.4,0.16,22.27,32.88
794,14.1,9.0,9.5,0.0,0.0,0.0,61.43,61.36,61.32,0.46,0.39,0.27,2.34,2.47,1.43,0,0.0,nan,0,0
795,21.2,93.0,6.9,80.15,95.0,0.7,27.98,20.07,17.23,3.86,4.11,2.64,1.09,1.62,1.1,7.07,2.61,0.17,19.28,26.35
796,36.9,83.0,6.3,0.0,0.0,0.0,19.11,11.51,10.87,4.85,3.57,1.76,1.24,2.01,1.65,0,0.0,nan,0,0
797,22.6,5.4,7.0,0.0,0.0,0.0,58.99,58.91,58.84,0.46,0.38,0.25,2.1,2.63,1.82,0,0.0,nan,0,0
798,21.4,51.2,9.3,98.57,95.0,0.69,46.29,26.9,20.17,6.95,9.08,4.54,1.24,3.55,1.81,19.73,1.54,0.15,24.27,44.01
799,6.4,76.2,0.5,65.61,95.0,0.04,33.61,27.65,24.37,3.74,3.24,3.43,1.0,1.05,0.95,4.58,0.25,0.17,27.16,31.74
800,35.1,80.6,2.7,0.0,0.0,0.0,17.97,10.43,9.39,4.74,3.73,2.42,1.08,1.31,1.2,0,0.0,nan,0,0
801,27.3,96.9,6.4,63.55,95.0,0.62,23.49,16.18,13.97,3.92,3.95,2.08,1.28,1.42,1.02,5.77,2.34,0.17,16.0,21.77
802,27.2,25.0,0.7,42.94,95.0,0.02,52.65,52.5,19.55,0.47,0.36,8.32,2.01,2.53,1.28,18.74,0.05,0.13,33.8,52.54
803,17.9,41.2,2.1,99.96,95.0,0.13,53.92,38.66,26.14,0.44,6.67,6.23,2.71,1.4,1.24,22.07,0.31,0.16,31.38,53.44
804,15.5,13.7,7.1,0.0,0.0,0.0,59.05,58.99,58.93,0.47,0.39,0.27,2.42,2.46,1.73,0,0.0,nan,0,0
805,33.5,23.8,2.5,84.21,95.0,0.13,54.41,18.87,11.91,0.44,11.85,4.27,2.54,1.64,1.36,38.1,0.18,0.13,16.26,54.36
806,25.8,44.5,9.4,97.08,95.0,0.66,48.36,23.19,17.47,9.45,9.83,3.59,1.4,3.65,1.72,24.71,1.22,0.15,20.82,45.53
807,17.6,29.9,8.9,88.72,95.0,0.43,60.78,60.65,27.33,0.46,0.37,8.09,2.51,2.48,2.02,20.68,1.26,0.13,40.07,60.75
808,7.1,56.3,3.4,95.22,95.0,0.24,45.46,35.81,30.25,4.66,4.36,4.45,1.21,1.51,1.15,10.11,1.06,0.16,33.68,43.79
809,40.8,54.8,7.6,0.0,0.0,0.0,20.25,11.39,11.28,7.31,2.86,1.61,1.21,2.41,1.81,0,0.0,nan,0,0
810,8.5,66.7,6.0,92.08,95.0,0.46,41.23,31.75,27.34,4.32,4.57,4.15,1.23,1.95,1.26,9.37,1.96,0.16,30.31,39.69
811,23.1,76.6,8.3,89.8,95.0,0.82,31.93,21.23,17.57,4.67,5.39,3.02,1.22,2.1,1.29,10.35,2.39,0.16,19.89,30.24
812,5.7,28.9,3.7,0.0,0.0,0.0,55.61,55.53,47.93,0.47,0.38,10.86,2.25,2.15,2.33,0,0.0,nan,0,0
813,10.3,6.0,2.9,0.0,0.0,0.0,54.86,54.81,54.86,0.47,0.41,0.37,2.24,2.35,1.86,0,0.0,nan,0,0
814,9.9,70.2,4.5,87.96,95.0,0.36,38.04,29.38,25.24,4.18,4.06,3.87,1.03,1.62,1.27,8.17,1.62,0.16,28.13,36.31
815,5.6,32.4,4.7,50.11,95.0,0.14,56.67,56.55,43.97,0.47,0.38,6.97,2.22,1.88,1.44,3.97,1.98,0.14,52.6,56.58
816,18.1,16.8,0.8,0.0,0.0,0.0,52.79,52.73,52.68,0.48,0.41,0.29,1.99,2.06,1.3,0,0.0,nan,0,0
817,0.5,99.2,7.5,74.47,95.0,0.55,34.9,28.7,26.46,3.24,3.48,2.44,1.07,1.62,0.94,5.22,3.55,0.17,28.25,33.47
818,4.2,71.7,9.8,93.84,95.0,0.72,43.76,34.06,29.76,4.13,5.35,4.2,1.25,2.57,1.58,9.67,3.15,0.16,32.69,42.35
819,28.2,10.9,4.9,7.43,95.0,0.02,56.91,56.82,18.08,0.46,0.36,7.16,2.13,2.17,1.62,0.45,2.68,0.1,56.28,56.73
820,21.7,19.0,5.5,6.06,95.0,0.02,57.42,57.35,27.3,0.47,0.37,10.76,2.4,2.25,1.72,0.15,7.43,0.15,57.1,57.25
821,0.4,92.0,6.5,73.21,95.0,0.46,35.57,29.38,27.0,3.35,3.45,2.63,1.28,1.51,0.96,5.31,2.96,0.17,28.92,34.23
822,31.4,93.5,6.6,43.12,95.0,0.48,21.8,14.24,12.43,4.19,4.06,1.83,1.21,1.45,1.41,4.54,2.06,0.16,14.98,19.51
823,12.6,24.6,1.5,0.0,0.0,0.0,53.43,53.37,53.29,0.48,0.4,0.29,2.37,2.17,1.21,0,0.0,nan,0,0
824,1.4,77.4,8.4,88.52,95.0,0.62,41.35,33.18,29.85,3.78,4.42,3.49,1.23,2.09,1.17,7.82,3.15,0.16,32.15,39.97
825,14.8,18.6,6.4,0.0,0.0,0.0,58.37,58.32,58.23,0.47,0.38,0.27,2.33,1.91,1.55,0,0.0,nan,0,0
826,42.3,92.7,1.8,0.67,99.0,0.01,11.2,6.53,6.9,4.13,2.69,2.26,1.05,1.2,1.18,0.83,0.05,0.15,3.65,4.48
827,39.2,83.0,7.4,0.0,0.0,0.0,18.49,11.47,11.24,4.92,2.97,1.59,1.16,2.53,1.92,0,0.0,nan,0,0
828,16.3,18.5,8.3,0.0,0.0,0.0,60.21,60.16,35.89,0.47,0.37,13.77,2.57,2.0,2.1,0,0.0,nan,0,0
829,16.0,36.9,5.6,99.8,95.0,0.32,57.46,43.23,29.12,0.44,9.61,7.02,2.1,2.33,1.45,21.67,0.85,0.15,35.73,57.4
830,18.5,83.1,2.5,70.01,95.0,0.22,27.86,20.83,17.67,3.95,3.54,3.31,1.07,1.13,0.94,5.8,0.99,0.17,20.21,26.02
831,2.1,56.7,6.3,94.65,95.0,0.42,49.11,38.99,33.87,4.5,4.88,4.51,1.23,1.89,1.36,10.33,1.92,0.16,37.2,47.54
832,41.0,70.6,9.1,0.0,0.0,0.0,19.54,12.35,12.35,5.74,2.52,1.39,1.2,3.01,1.79,0,0.0,nan,0,0
833,47.2,49.4,5.0,2.04,99.0,0.05,12.48,8.09,8.6,5.97,2.02,1.78,1.22,1.87,1.64,0.25,1.37,0.1,6.99,7.24
834,7.9,30.0,5.9,32.34,95.0,0.11,57.77,57.66,43.47,0.47,0.38,8.1,2.63,2.45,1.55,2.86,2.19,0.14,54.81,57.67
835,4.0,68.8,1.7,78.04,95.0,0.12,38.37,31.53,27.78,3.93,3.45,3.62,1.05,1.16,1.05,6.02,0.74,0.17,30.6,36.61
836,22.2,97.0,1.0,30.43,95.0,0.05,21.7,15.94,13.75,3.61,3.13,2.96,1.0,1.17,1.08,2.58,0.39,0.16,16.75,19.33
