idx,Bstart [%],Bend [%],Vload [CV],Yield [%],Purity [%],Prod [g/(l*CV)],tretA [CV],tretBC [CV],tretD [CV],peakwidthA [CV],peakwidthBC [CV],peakwidthD [CV],assymetryA [-],assymetryBC [-],assymetryD [-],poolVolume [CV],poolConcBC [g/l],poolConcSalt [M],cut1 [CV],cut2 [CV]
112,21.1,91.1,0.5,38.44,95.0,0.03,22.85,17.08,14.52,3.73,3.22,3.2,1.18,1.11,1.05,3.15,0.2,0.16,17.57,20.71
113,12.9,14.9,0.5,0.0,0.0,0.0,52.46,52.43,52.43,0.48,0.42,0.33,2.61,2.07,1.99,0,0.0,nan,0,0
114,28.5,70.0,0.5,49.34,95.0,0.04,24.16,15.33,12.11,4.98,4.2,3.65,1.04,1.17,1.08,5.82,0.14,0.16,15.54,21.36
115,2.9,68.8,0.5,73.77,95.0,0.03,37.74,31.58,27.8,3.86,3.35,3.56,1.03,0.96,1.0,5.26,0.23,0.16,30.68,35.94
116,3.6,93.8,0.5,22.34,95.0,0.01,29.04,24.2,22.11,3.25,2.82,2.91,1.04,1.29,1.16,1.57,0.24,0.13,25.21,26.78
117,40.1,8.4,0.5,22.44,99.0,0.01,52.43,9.32,8.15,0.44,46.14,4.23,2.77,13.97,1.29,37.38,0.01,0.11,14.5,51.88
118,3.3,86.3,0.5,38.78,95.0,0.02,31.19,26.1,23.6,3.4,2.94,3.07,1.03,1.08,1.05,2.65,0.24,0.17,26.5,29.15
119,17.0,55.3,0.5,97.73,95.0,0.04,40.08,29.76,22.53,5.28,4.58,4.78,0.99,1.24,1.18,11.56,0.14,0.16,26.35,37.91
120,13.4,12.9,0.5,0.0,0.0,0.0,52.46,52.43,52.46,0.48,0.42,0.35,2.59,2.15,1.59,0,0.0,nan,0,0
121,11.9,10.9,0.5,0.0,0.0,0.0,52.47,52.43,52.47,0.48,0.42,0.37,2.53,2.14,2.03,0,0.0,nan,0,0
122,2.5,20.2,0.5,0.0,0.0,0.0,52.48,52.42,52.45,0.49,0.42,0.35,2.05,2.04,1.73,0,0.0,nan,0,0
123,15.3,75.9,0.5,74.3,95.0,0.04,29.98,23.46,19.63,4.04,3.5,3.65,1.19,1.02,0.97,5.71,0.22,0.17,22.54,28.25
124,25.0,17.8,0.5,0.0,0.0,0.0,52.46,52.4,27.69,0.48,0.39,14.08,2.28,2.24,1.43,0,0.0,nan,0,0
125,0.9,25.0,0.5,0.0,0.0,0.0,52.46,52.4,52.4,0.49,0.41,0.32,2.29,2.29,1.48,0,0.0,nan,0,0
126,36.7,55.1,0.5,0.0,99.0,0.0,20.98,9.85,8.46,7.11,4.7,3.37,1.06,1.17,1.22,0.27,0.0,0.11,2.45,2.72
127,23.7,93.5,0.5,26.36,95.0,0.02,21.09,15.22,13.03,3.73,3.23,3.11,1.13,1.25,1.06,2.4,0.18,0.16,16.25,18.65
128,40.9,43.2,0.5,0.11,99.0,0.0,18.29,7.05,7.05,9.41,4.26,3.13,1.15,1.3,1.19,1.02,0.0,0.14,2.34,3.36
129,41.7,39.3,0.5,0.28,99.0,0.0,18.2,6.73,6.9,10.42,4.18,3.1,1.13,1.24,1.11,1.1,0.0,0.15,2.3,3.4
130,34.4,98.2,0.5,0.0,0.0,0.0,14.4,8.99,8.25,3.86,3.18,2.71,1.15,1.03,1.14,0,0.0,nan,0,0
131,41.6,70.7,0.5,0.4,99.0,0.0,12.31,6.13,6.44,5.15,3.27,2.66,1.13,1.18,1.2,1.11,0.01,0.15,2.3,3.41
132,20.2,34.8,0.5,96.78,95.0,0.03,52.42,52.26,26.57,0.45,9.42,7.5,2.26,0.03,1.13,17.17,0.09,0.15,35.22,52.39
133,6.5,7.1,0.5,0.0,0.0,0.0,52.47,52.44,52.5,0.48,0.42,0.42,2.63,2.08,2.02,0,0.0,nan,0,0
134,12.8,16.3,0.5,0.0,0.0,0.0,52.46,52.43,52.43,0.48,0.42,0.32,2.52,1.96,1.57,0,0.0,nan,0,0
135,42.1,87.1,0.5,0.76,99.0,0.0,10.6,5.66,6.23,4.27,2.91,2.46,1.14,1.24,1.05,1.13,0.01,0.15,2.29,3.43
136,14.1,24.2,0.5,0.0,0.0,0.0,52.46,52.39,52.32,0.48,0.4,0.29,2.32,2.38,1.21,0,0.0,nan,0,0
137,23.0,15.8,0.5,0.0,0.0,0.0,52.46,52.4,52.33,0.48,0.4,0.27,2.4,2.44,1.37,0,0.0,nan,0,0
138,13.2,96.2,0.5,31.72,95.0,0.02,25.3,20.12,17.78,3.4,2.94,3.02,0.98,1.16,1.11,2.29,0.23,0.16,20.79,23.08
139,27.4,24.4,0.5,34.25,95.0,0.01,52.45,52.34,19.81,0.47,0.36,8.54,2.19,2.11,1.15,17.75,0.03,0.12,34.59,52.34
140,15.5,35.7,0.5,89.66,95.0,0.03,52.41,52.27,32.42,0.46,0.38,7.15,2.45,1.89,1.09,11.5,0.13,0.15,40.89,52.38
141,19.1,47.5,0.5,99.59,95.0,0.04,45.86,33.05,23.12,6.36,5.49,5.5,1.2,1.01,0.98,16.28,0.1,0.16,27.29,43.57
142,10.0,50.5,0.5,98.77,95.0,0.04,47.04,37.5,29.68,5.11,4.45,4.84,1.04,0.96,1.13,11.55,0.14,0.16,33.47,45.02
143,13.2,9.0,0.5,0.0,0.0,0.0,52.47,52.44,52.47,0.48,0.42,0.38,2.47,2.0,2.03,0,0.0,nan,0,0
144,2.1,2.2,0.5,0.0,0.0,0.0,52.49,52.46,52.52,0.48,0.42,0.45,2.14,1.81,1.97,0,0.0,nan,0,0
145,11.6,58.6,0.5,95.31,95.0,0.04,40.18,31.77,25.81,4.68,4.06,4.37,1.09,1.08,0.98,9.23,0.17,0.16,29.11,38.34
146,37.5,65.8,0.5,0.0,99.0,0.0,16.97,8.53,7.87,5.71,4.0,3.06,1.07,1.18,1.15,0.22,0.0,0.0,2.67,2.89
147,44.0,39.0,0.5,1.86,99.0,0.01,13.85,5.46,6.19,8.84,3.52,2.83,1.34,1.42,1.15,1.14,0.03,0.15,2.27,3.41
148,49.2,14.9,0.5,10.85,99.0,0.06,8.94,3.93,5.07,7.98,2.54,2.44,1.48,1.46,1.26,0.91,0.2,0.15,2.26,3.17
149,32.2,4.4,0.5,0.0,0.0,0.0,52.46,52.41,16.29,0.47,0.38,40.25,2.58,2.14,8.69,0,0.0,nan,0,0
150,44.6,62.7,0.5,3.15,99.0,0.02,10.4,4.99,5.79,5.37,2.93,2.5,1.24,1.34,1.17,1.14,0.05,0.15,2.25,3.39
151,40.6,13.9,0.5,13.65,95.0,0.0,52.41,8.46,7.8,0.43,6.57,3.89,2.69,1.45,1.2,38.39,0.01,0.12,13.81,52.2
152,25.2,83.5,0.5,41.05,95.0,0.03,22.46,15.83,13.12,4.12,3.55,3.35,1.14,1.01,0.92,3.91,0.17,0.17,16.2,20.1
153,41.3,58.4,0.5,0.24,99.0,0.0,14.31,6.47,6.62,6.29,3.62,2.85,1.05,1.26,1.31,1.09,0.0,0.14,2.31,3.4
154,34.1,69.3,0.5,0.0,0.0,0.0,19.38,10.88,9.22,5.32,4.16,3.25,1.13,1.06,1.09,0,0.0,nan,0,0
155,1.6,13.3,0.5,0.0,0.0,0.0,52.47,52.44,52.51,0.48,0.42,0.41,2.42,1.9,1.71,0,0.0,nan,0,0
156,5.2,83.6,0.5,48.22,95.0,0.03,31.37,25.97,23.35,3.51,3.04,3.18,1.08,1.2,0.97,3.29,0.24,0.17,26.16,29.45
157,31.4,62.6,0.5,39.65,95.0,0.03,24.31,14.08,10.98,5.8,4.67,3.69,1.05,1.03,1.03,6.12,0.11,0.15,14.67,20.79
158,24.5,0.3,0.5,0.0,0.0,0.0,52.49,52.43,52.43,0.48,0.4,0.31,2.12,2.25,1.7,0,0.0,nan,0,0
159,37.4,50.3,0.5,0.0,99.0,0.0,21.76,9.56,8.4,8.11,4.87,3.41,1.08,1.15,1.04,0.17,0.0,0.0,2.65,2.82
160,33.0,6.6,0.5,4.56,95.0,0.0,52.46,52.38,14.9,0.47,0.37,8.8,2.54,2.67,1.3,0.12,0.65,0.15,52.17,52.29
161,12.6,7.4,0.5,0.0,0.0,0.0,52.49,52.43,52.49,0.48,0.42,0.39,2.12,2.38,1.89,0,0.0,nan,0,0
162,36.5,20.5,0.5,59.15,95.0,0.02,52.43,14.48,9.87,0.44,11.22,4.77,2.3,1.57,1.3,37.11,0.03,0.13,15.24,52.34
163,48.8,49.4,0.5,10.69,99.0,0.06,8.04,3.96,4.95,5.18,2.37,2.24,1.16,1.36,1.32,0.93,0.19,0.16,2.25,3.17
