idx,Bstart [%],Bend [%],Vload [CV],Yield [%],Purity [%],Prod [g/(l*CV)],tretA [CV],tretBC [CV],tretD [CV],peakwidthA [CV],peakwidthBC [CV],peakwidthD [CV],assymetryA [-],assymetryBC [-],assymetryD [-],poolVolume [CV],poolConcBC [g/l],poolConcSalt [M],cut1 [CV],cut2 [CV]
669,12.5,52.0,4.4,99.76,95.0,0.34,44.16,26.79,12.26,6.96,15.12,7.02,1.45,1.37,4.53,22.59,0.64,0.14,19.56,42.15
670,47.5,28.8,3.1,0.0,0.0,0.0,9.64,5.42,5.57,7.95,1.14,0.89,1.14,2.95,1.82,0,0.0,nan,0,0
671,32.4,12.0,6.0,71.57,95.0,0.25,57.89,8.0,7.83,0.43,1.1,0.29,2.7,5.98,2.01,49.13,0.29,0.12,8.7,57.83
672,47.8,51.4,2.8,0.0,0.0,0.0,8.9,5.16,5.35,6.12,1.28,1.03,1.1,2.48,1.83,0,0.0,nan,0,0
673,23.3,53.4,1.6,96.77,95.0,0.15,36.2,19.59,13.61,6.61,6.95,4.27,1.16,2.42,1.37,16.7,0.3,0.15,17.12,33.82
674,6.2,13.1,3.0,0.0,0.0,0.0,54.95,54.9,54.84,0.46,0.38,0.27,2.45,2.27,1.57,0,0.0,nan,0,0
675,20.3,28.8,2.5,91.93,95.0,0.14,54.42,54.31,15.79,0.45,0.36,6.7,2.55,1.97,2.0,28.06,0.27,0.13,26.34,54.4
676,4.4,54.6,8.4,73.14,95.0,0.47,48.16,8.77,6.66,9.24,1.66,1.13,0.94,0.25,3.14,31.51,0.65,0.11,11.73,43.24
677,30.5,57.0,6.5,80.62,95.0,0.79,26.36,8.5,6.67,10.9,0.71,2.06,1.35,3.93,6.26,13.31,1.31,0.15,8.81,22.12
678,10.1,71.0,4.7,99.32,95.0,0.45,35.22,23.51,11.96,5.23,11.22,7.05,1.49,1.15,4.58,15.87,0.97,0.15,17.84,33.71
679,27.4,61.3,4.7,88.65,96.0,0.57,27.73,9.33,7.17,7.87,7.99,0.88,1.47,5.33,3.05,15.55,0.89,0.15,8.9,24.46
680,15.5,24.2,2.3,32.48,95.0,0.05,54.22,54.11,25.85,0.47,0.38,10.61,2.54,2.49,2.01,6.76,0.37,0.12,47.36,54.12
681,25.6,38.3,5.9,90.29,95.0,0.43,57.73,8.8,7.81,0.43,4.86,1.63,2.01,4.22,0.19,32.67,0.54,0.14,8.79,41.47
682,0.6,35.3,8.6,70.94,95.0,0.34,60.5,8.96,6.66,0.45,1.88,1.13,2.26,0.24,3.14,46.86,0.43,0.11,13.4,60.26
683,11.9,55.7,5.0,99.78,95.0,0.41,42.14,26.64,9.75,6.86,16.23,6.33,1.4,0.93,6.7,22.71,0.72,0.14,17.36,40.07
684,14.2,98.8,3.0,92.35,95.0,0.39,25.27,16.82,13.3,3.76,5.24,3.21,1.23,2.42,1.53,8.37,1.11,0.16,15.56,23.93
685,38.6,15.9,0.8,29.5,95.0,0.01,52.66,8.22,7.09,0.43,6.37,3.02,2.89,2.0,1.4,40.57,0.02,0.12,11.98,52.55
686,43.6,44.0,0.7,0.91,99.0,0.01,12.87,5.09,5.5,7.94,3.01,2.37,1.16,1.55,1.33,0.79,0.03,0.15,2.48,3.27
687,19.4,44.0,7.4,83.89,95.0,0.49,47.5,7.87,6.66,18.34,2.4,1.13,1.84,4.4,3.14,32.2,0.64,0.13,9.53,41.73
688,5.5,22.5,9.6,40.67,95.0,0.21,61.49,61.43,6.66,0.45,0.39,1.13,2.47,1.89,3.14,47.45,0.27,0.09,13.93,61.38
689,36.9,15.5,3.4,45.26,98.0,0.24,55.33,6.41,6.18,0.42,3.67,0.97,2.66,6.17,2.5,12.38,0.42,0.14,8.8,21.18
690,17.6,67.5,6.2,97.97,96.0,0.65,33.47,19.25,6.63,7.11,17.82,1.99,1.35,0.76,7.13,21.55,0.93,0.14,9.29,30.84
691,42.5,82.1,5.2,0.0,0.0,0.0,12.55,7.23,7.13,5.65,0.78,0.26,1.19,4.42,2.54,0,0.0,nan,0,0
692,36.9,74.3,7.6,54.04,95.0,1.01,17.64,9.56,6.66,8.27,0.59,1.13,1.28,2.47,3.14,3.73,3.66,0.15,9.78,13.5
693,23.8,78.5,7.1,85.04,95.0,0.84,26.89,9.06,6.66,7.29,2.03,1.13,1.19,0.39,3.14,14.67,1.37,0.14,9.2,23.88
694,45.7,12.7,8.7,0.0,0.0,0.0,10.72,10.65,6.66,4.83,0.51,1.13,33.27,2.11,3.14,0,0.0,nan,0,0
695,0.2,76.6,5.9,99.59,95.0,0.54,37.75,28.47,6.47,5.01,13.09,0.25,1.27,0.57,1.56,17.06,1.14,0.14,19.0,36.05
696,24.9,96.3,5.8,90.26,95.0,0.85,22.24,9.06,7.69,5.17,8.37,0.45,1.29,7.34,2.01,11.54,1.49,0.15,8.81,20.34
697,20.9,78.4,8.7,63.72,95.0,0.74,30.04,10.69,6.66,8.54,3.85,1.13,0.92,0.19,3.14,14.16,1.3,0.13,10.88,25.04
698,30.4,38.0,4.6,81.04,95.0,0.37,56.38,8.68,6.96,0.42,6.06,0.74,2.37,2.75,2.77,24.81,0.49,0.14,8.7,33.51
699,22.9,72.3,3.0,94.92,95.0,0.37,27.21,14.04,9.99,5.26,7.24,3.05,1.39,3.37,1.76,13.01,0.72,0.15,12.52,25.54
700,19.5,55.5,3.9,99.08,95.0,0.36,37.29,16.72,9.96,7.09,12.84,4.08,1.48,5.21,3.24,21.01,0.61,0.15,14.25,35.26
701,16.1,78.7,8.5,68.77,95.0,0.69,32.43,8.87,6.66,7.8,3.14,1.13,0.98,1.21,3.14,17.44,1.11,0.13,10.75,28.2
702,25.0,44.4,1.9,98.02,95.0,0.16,43.04,18.65,11.99,9.08,9.38,4.19,1.17,3.36,1.64,24.03,0.26,0.15,15.83,39.86
703,15.2,14.5,5.8,50.36,95.0,0.17,57.73,57.65,7.76,0.46,0.38,2.04,2.06,1.95,0.45,43.31,0.22,0.09,14.33,57.64
704,29.1,8.8,9.2,47.45,95.0,0.24,61.11,11.15,6.66,0.44,50.15,1.13,2.8,290.22,3.14,49.59,0.29,0.11,11.41,61.0
705,16.2,84.3,8.4,70.07,95.0,0.72,30.98,8.75,6.66,7.19,3.04,1.13,0.93,1.32,3.14,16.42,1.19,0.13,10.63,27.05
706,47.9,20.4,4.3,0.0,0.0,0.0,9.9,6.37,6.37,7.95,0.63,0.42,1.22,3.68,2.41,0,0.0,nan,0,0
707,45.5,1.1,0.6,2.42,99.0,0.01,52.48,4.75,5.43,0.42,3.27,2.67,2.43,1.52,1.31,0.85,0.05,0.14,2.32,3.17
708,28.2,49.7,9.2,52.32,95.0,0.71,33.97,11.14,6.66,18.66,0.63,1.13,0.84,2.99,3.14,11.15,1.43,0.13,11.32,22.47
709,38.7,53.8,10.0,0.0,0.0,0.0,17.61,11.92,6.66,13.58,0.56,1.13,1.36,2.33,3.14,0,0.0,nan,0,0
710,25.9,51.7,6.9,87.23,95.0,0.67,34.05,8.82,6.66,12.54,0.67,1.11,1.4,3.22,3.08,20.62,0.96,0.14,8.97,29.59
711,19.5,35.8,6.0,98.11,95.0,0.35,57.82,10.0,6.52,0.44,20.83,1.94,2.75,22.46,13.09,45.43,0.43,0.13,9.35,54.78
712,17.6,94.8,6.8,93.08,95.0,0.85,26.71,8.78,6.66,5.45,12.14,1.07,1.33,72.95,2.95,15.73,1.33,0.14,9.04,24.77
713,26.3,9.9,3.8,58.98,95.0,0.13,55.77,55.66,7.88,0.46,0.36,2.31,1.99,2.3,3.2,43.67,0.17,0.1,12.0,55.67
714,20.0,56.1,5.8,97.96,95.0,0.55,36.95,10.29,7.74,8.69,17.75,0.63,1.4,16.63,2.67,24.78,0.76,0.14,9.45,34.24
715,44.0,96.4,4.9,0.0,0.0,0.0,11.33,6.93,6.86,4.87,0.73,0.3,1.08,4.97,2.99,0,0.0,nan,0,0
716,22.0,62.5,10.0,47.45,95.0,0.61,35.33,11.92,6.66,13.04,4.97,1.13,0.73,0.12,3.14,13.39,1.17,0.12,12.17,25.55
717,17.2,53.0,8.2,73.42,95.0,0.55,42.47,8.56,6.66,11.83,2.89,1.13,0.99,1.57,3.14,26.04,0.76,0.13,10.38,36.42
718,8.5,31.8,9.8,55.92,95.0,0.3,61.67,9.03,6.66,0.45,3.03,1.13,2.15,0.91,3.14,46.9,0.39,0.11,12.56,59.46
719,41.3,51.3,1.2,0.07,99.0,0.0,14.43,5.72,5.58,7.63,3.12,2.08,1.19,1.71,1.78,0.49,0.01,0.13,2.98,3.47
720,44.7,69.0,8.2,0.0,0.0,0.0,13.4,10.16,6.66,6.9,0.53,1.13,1.09,2.07,3.14,0,0.0,nan,0,0
721,49.5,88.8,4.3,0.0,0.0,0.0,8.79,6.3,6.3,4.78,0.61,0.42,0.91,3.83,2.8,0,0.0,nan,0,0
722,7.8,29.0,5.2,85.75,95.0,0.26,57.08,56.97,10.85,0.45,0.37,10.39,2.27,2.1,7.8,26.99,0.54,0.12,30.04,57.04
723,25.2,18.8,1.9,50.67,95.0,0.06,53.86,53.75,13.93,0.46,0.37,6.21,2.15,2.12,1.77,25.02,0.13,0.11,28.75,53.77
724,31.5,60.3,3.6,73.61,95.0,0.42,23.75,8.91,6.75,7.57,6.12,1.16,1.44,2.26,2.35,12.05,0.73,0.15,8.82,20.87
725,49.7,63.7,0.5,9.26,99.0,0.05,6.6,3.53,4.44,4.38,1.99,1.94,1.29,1.65,1.33,0.71,0.22,0.16,2.24,2.95
